杉本		4.458	6.714	2.256	まず何についてですか
杉本		7.96	8.62	0.66	書いてある
杉本		12.372	13.428	1.056	ジャガイモです
杉本		13.615	14.847	1.232	じゃナスからやりますか
杉本		30.791	31.884	1.093	今ところ大丈夫です
杉本		149.412	152.398	2.986	砂状の土壌では病気に
杉本		154.408	155.353	0.945	その続き何
杉本		159.314	160.314	1.0	ペーファー？
杉本		161.314	161.962	0.648	Phか
杉本		168.964	169.744	0.78	次トマト
杉本		332.295	334.275	1.98	で次ジャガイモいきます
杉本		339.889	340.379	0.49	えー
杉本		341.081	341.881	0.8	ジャガイモは
杉本		341.881	342.213	0.332	えー
杉本		342.213	343.696	1.483	炭水化物やタンパク質が
杉本		343.696	343.875	0.179	えー
杉本		343.875	344.689	0.814	多く
杉本		344.902	345.233	0.331	えー
杉本		345.233	347.274	2.041	利用方法も幅広いそうです
杉本		369.558	369.93	0.372	えー
杉本		370.172	372.171	1.999	アメリカ大陸で発見されたあと
杉本		372.171	372.702	0.531	えー
杉本		372.702	373.364	0.662	ヨーロッパ
杉本		374.171	375.343	1.172	そっから世界に
杉本		376.703	376.924	0.221	えー
杉本		376.924	378.82	1.896	世界各地に伝わったってなってます
杉本		384.116	384.772	0.656	大陸
杉本		385.937	387.482	1.545	大陸ですね
杉本		388.854	389.192	0.338	あー
杉本		389.199	390.434	1.235	書いてないですね
杉本		401.641	402.744	1.103	日本に伝わったのが
杉本		402.751	403.165	0.414	えー
杉本		403.633	405.226	1.593	1600年前後
杉本		415.212	416.289	1.077	それを伝えたのが
杉本		416.289	416.585	0.296	えー
杉本		416.771	417.709	0.938	オランダ人で
杉本		417.847	418.144	0.297	えー
杉本		418.282	419.73	1.448	長崎に伝えたと伝わってます
杉本		429.778	430.827	1.049	えーと
杉本		432.082	434.399	2.317	涼しい気候を好んでいて
杉本		435.296	438.42	3.124	で短期間で栽培できるとなっている
杉本		441.937	442.275	0.338	えー
杉本		442.793	445.675	2.882	毎年の収穫量の差が少ないことで
杉本		446.233	446.523	0.29	で
杉本		447.923	448.909	0.986	救
杉本		473.661	474.206	0.545	？？？
杉本		474.944	477.206	2.262	？？？
杉本		479.324	480.165	0.841	えっと
杉本		502.248	503.11	0.862	バレイショ
杉本		505.826	507.737	1.911	これにで救うっていう字
杉本		520.792	522.627	1.835	寒冷地を中心にして栽培れています
杉本		535.455	536.848	1.393	栽培状の特徴として
杉本		538.268	540.813	2.545	あの種イモを植え付けると
杉本		541.295	541.688	0.393	まぁ
杉本		543.565	547.682	4.117	数個の芽がでてほう芽が伸びていくらしいです
杉本		552.047	556.434	4.387	種イモが地表に芽を出すまでかかる日数が20から30日
杉本		562.185	562.495	0.31	えー
杉本		562.495	563.165	0.67	芽を出してから
杉本		563.165	563.606	0.441	えー
杉本		563.606	565.22	1.614	約20日で蕾が見えてきます
杉本		574.393	576.468	2.075	芽が出すまでに20日から30日で
杉本		577.364	577.971	0.607	芽を出してから
杉本		577.972	578.351	0.379	えー
杉本		578.351	579.992	1.641	約20日で蕾が出てきます
杉本		592.109	592.654	0.545	えー
杉本		592.654	593.661	1.007	２週間で
杉本		593.806	595.344	1.538	あ、蕾が出てから２週間で
杉本		595.592	595.792	0.2	えー
杉本		595.834	596.096	0.262	開花
杉本		596.847	597.896	1.049	花が咲いて
杉本		600.006	601.544	1.538	花が咲いた以降は
杉本		605.689	606.13	0.441	きゅう
杉本		610.655	612.262	1.607	全く読めない
杉本		616.158	617.571	1.413	塊に茎
杉本		618.103	618.972	0.869	なんて読む
杉本		625.888	627.185	1.297	こんな感じで書く
杉本		628.172	629.054	0.882	？？？
杉本		630.758	631.31	0.552	えー
杉本		632.661	633.213	0.552	花が終わる
杉本		633.793	635.062	1.269	と、開花が終わると
杉本		636.075	636.869	0.794	次第に
杉本		639.164	639.662	0.498	えー
杉本		639.662	640.868	1.206	まぁ全体的に
杉本		641.068	642.537	1.469	下から茶色くなっていく
杉本		643.42	646.137	2.717	その後で茎とか枯れていく
杉本		646.764	647.944	1.18	で、そのーまぁ
杉本		648.633	648.943	0.31	この
